DELTA-T LOGGER
R-Nachbau der Loggerdateien, um Delta-T Dateien oder anderen Loggerdateiformate mit Flag-Splaten in die Level2 Datenbank hochzuladen. Autor:Marvin Lorff, Ausgabe durch Funktion: write.fwf2()
01.01. 00:00
31.03. 23:30
Start_Year: 2020
Channel number,,,,,,,,,,
Sensor code,,,,,,,,,,
        Datum, BoTemp10, BoTemp20, BoTemp30, Theta201, Theta202, w_up_con, Theta801, Theta802, Lys_Akku
Units,,,,,,,,,,
Minimum value,,,,,,,,,,
Maximum value,,,,,,,,,,
03.03. 11:00 ,   -18.03,     2.73,    20.54,    41.04,    34.76,  26.8610,    38.72,    37.55,  27.9760
03.03. 11:30 ,   -18.03,     3.03,    20.54,    41.04,    34.76,  26.8610,    38.72,    37.55,  27.9760
03.03. 12:00 ,   -18.03,     3.35,    20.55,    41.04,    34.76,  26.8610,    38.72,    37.55,  27.9760
03.03. 12:30 ,   -18.03,     3.60,    20.55,    41.04,    34.76,  26.8610,    38.72,    37.55,  27.9760
03.03. 13:00 ,   -18.03,     3.79,    20.55,    40.96,    34.76,  26.8610,    38.72,    37.55,  27.9760
03.03. 13:30 ,   -18.03,     3.85,    20.55,    40.96,    34.76,  26.8610,    38.72,    37.55,  27.9760
03.03. 14:00 ,   -18.03,     3.92,    20.55,    40.96,    34.76,  26.8610,    38.72,    37.51,  27.9760
03.03. 14:30 ,   -18.03,     3.92,    20.70,    40.96,    34.76,  26.8610,    38.72,    37.51,  27.9760
03.03. 15:00 ,   -18.03,     4.11,    20.55,    41.04,    34.76,  26.8610,    38.72,    37.51,  27.9760
03.03. 15:30 ,   -18.03,     4.24,    20.70,    40.96,    34.76,  26.8610,    38.72,    37.51,  27.9760
03.03. 16:00 ,   -18.03,     4.30,    20.70,    40.96,    34.76,  26.8610,    38.72,    37.51,  27.9760
03.03. 16:30 ,   -18.03,     4.30,    20.70,    40.96,    34.76,  26.8610,    38.72,    37.51,  27.9760
03.03. 17:00 ,   -18.03,     4.30,    20.70,    41.04,    34.76,  26.8610,    38.72,    37.51,  27.9760
03.03. 17:30 ,   -18.03,     4.30,    20.70,    40.96,    34.76,  26.8610,    38.72,    37.51,  27.9760
03.03. 18:00 ,   -18.03,     4.24,    20.70,    40.96,    34.76,  26.8610,    38.72,    37.51,  27.9760
03.03. 18:30 ,   -18.03,     4.11,    20.70,    40.96,    34.76,  26.8610,    38.72,    37.51,  27.9760
03.03. 19:00 ,   -18.03,     4.04,    20.70,    40.96,    34.76,  26.8610,    38.72,    37.55,  27.9760
03.03. 19:30 ,   -18.03,     3.98,    20.70,    41.04,    34.76,  26.8610,    38.72,    37.55,  27.9760
03.03. 20:00 ,   -18.03,     3.92,    20.70,    41.04,    34.76,  26.8610,    38.75,    37.55,  27.9760
03.03. 20:30 ,   -18.03,     3.92,    20.85,    40.96,    34.76,  26.8610,    38.75,    37.55,  27.9760
03.03. 21:00 ,   -18.03,     3.79,    20.85,    41.04,    34.76,  26.8610,    38.75,    37.55,  27.9760
03.03. 21:30 ,   -18.03,     3.66,    20.85,    40.96,    34.76,  26.8610,    38.75,    37.55,  27.9760
03.03. 22:00 ,   -18.03,     3.60,    20.85,    40.96,    34.76,  26.8610,    38.75,    37.55,  27.9760
03.03. 22:30 ,   -18.03,     3.47,    20.70,    40.96,    34.76,  26.8610,    38.75,    37.55,  27.9760
03.03. 23:00 ,   -18.03,     3.34,    20.70,    41.04,    34.76,  26.8610,    38.75,    37.55,  27.9760
03.03. 23:30 ,   -18.03,     3.28,    20.70,    41.04,    34.76,  26.8610,    38.75,    37.55,  27.9760
04.03. 00:00 ,   -18.03,     3.22,    20.70,    41.04,    34.76,  26.8610,    38.75,    37.55,  27.9760
04.03. 00:30 ,   -18.03,     3.15,    20.70,    41.04,    34.76,  26.8610,    38.75,    37.55,  27.9760
04.03. 01:00 ,   -18.03,     3.09,    20.70,    41.04,    34.76,  26.8610,    38.76,    37.58,  27.9760
04.03. 01:30 ,   -18.03,     3.03,    20.70,    41.04,    34.76,  26.8610,    38.76,    37.58,  27.9760
04.03. 02:00 ,   -18.03,     2.91,    20.70,    40.96,    34.76,  26.8610,    38.76,    37.58,  27.9760
04.03. 02:30 ,   -18.03,     2.79,    20.70,    40.96,    34.76,  26.8610,    38.76,    37.58,  27.9760
04.03. 03:00 ,   -18.03,     2.73,    20.70,    41.04,    34.76,  26.8610,    38.76,    37.58,  27.9760
04.03. 03:30 ,   -18.03,     2.62,    20.69,    41.04,    34.76,  26.8610,    38.76,    37.58,  27.9760
04.03. 04:00 ,   -18.03,     2.56,    20.69,    41.04,    34.76,  26.8610,    38.76,    37.59,  27.9760
04.03. 04:30 ,   -18.03,     2.44,    20.69,    40.96,    34.76,  26.8610,    38.76,    37.59,  27.9760
04.03. 05:00 ,   -18.03,     2.44,    20.69,    41.04,    34.76,  26.8610,    38.76,    37.59,  27.9760
04.03. 05:30 ,   -18.03,     2.32,    20.69,    41.04,    34.76,  26.8610,    38.79,    37.59,  27.9760
04.03. 06:00 ,   -18.03,     2.21,    20.69,    41.04,    34.76,  26.8610,    38.76,    37.62,  27.9760
04.03. 06:30 ,   -18.03,     2.03,    20.54,    41.04,    34.76,  26.8610,    38.79,    37.62,  27.9760
04.03. 07:00 ,   -18.03,     1.86,    20.54,    41.04,    34.76,  26.8610,    38.79,    37.62,  27.9760
04.03. 07:30 ,   -18.03,     1.74,    20.54,    41.04,    34.76,  26.8610,    38.79,    37.62,  27.9760
04.03. 08:00 ,   -18.03,     1.62,    20.54,    41.04,    34.76,  26.8610,    38.76,    37.62,  27.9760
04.03. 08:30 ,   -18.03,     1.62,    20.54,    41.04,    34.76,  26.8610,    38.79,    37.62,  27.9760
04.03. 09:00 ,   -18.03,     1.68,    20.54,    41.04,    34.76,  26.8610,    38.79,    37.62,  27.9760
04.03. 09:30 ,   -18.03,     1.80,    20.54,    41.04,    34.76,  26.8610,    38.79,    37.62,  27.9760
04.03. 10:00 ,   -18.03,     1.97,    20.54,    41.04,    34.76,  26.8610,    38.79,    37.66,  27.9760
04.03. 10:30 ,   -18.03,     2.09,    20.54,    41.04,    34.76,  26.8610,    38.79,    37.62,  27.9760
04.03. 11:00 ,   -18.03,     2.32,    20.54,    41.04,    34.79,  26.8610,    38.79,    37.66,  27.9760
04.03. 11:30 ,   -18.03,     2.32,    20.54,    41.04,    34.79,  26.8610,    38.79,    37.66,  27.9760
04.03. 12:00 ,   -18.03,     2.56,    20.54,    41.04,    34.79,  26.8610,    38.79,    37.66,  27.9760
04.03. 12:30 ,   -18.03,     2.73,    20.54,    41.04,    34.79,  26.8610,    38.79,    37.66,  27.9760
04.03. 13:00 ,   -18.03,     2.68,    20.54,    41.04,    34.79,  26.8610,    38.79,    37.66,  27.9760
04.03. 13:30 ,   -18.03,     2.73,    20.54,    41.04,    34.79,  26.8610,    38.83,    37.66,  27.9760
04.03. 14:00 ,   -18.03,     2.79,    20.54,    41.04,    34.79,  26.8610,    38.79,    37.62,  27.9760
04.03. 14:30 ,   -18.03,     2.79,    20.54,    41.04,    34.82,  26.8610,    38.83,    37.66,  27.9760
04.03. 15:00 ,   -18.03,     2.97,    20.54,    41.04,    34.79,  26.8610,    38.83,    37.66,  27.9760
04.03. 15:30 ,   -18.03,     2.91,    20.54,    41.04,    34.79,  26.8610,    38.83,    37.66,  27.9760
04.03. 16:00 ,   -18.03,     2.91,    20.54,    41.04,    34.79,  26.8610,    38.83,    37.66,  27.9760
04.03. 16:30 ,   -18.03,     2.97,    20.54,    41.04,    34.79,  26.8610,    38.83,    37.66,  27.9760
04.03. 17:00 ,   -18.03,     2.91,    20.54,    41.04,    34.79,  26.8610,    38.83,    37.66,  27.9760
04.03. 17:30 ,   -18.03,     2.79,    20.54,    41.04,    34.82,  26.8610,    38.83,    37.66,  27.9760
04.03. 18:00 ,   -18.03,     2.68,    20.54,    41.04,    34.79,  26.8610,    38.83,    37.66,  27.9760
04.03. 18:30 ,   -18.03,     2.44,    20.54,    41.04,    34.79,  26.8610,    38.83,    37.66,  27.9760
04.03. 19:00 ,   -18.03,     2.03,    20.54,    41.04,    34.79,  26.8610,    38.83,    37.66,  27.9760
04.03. 19:30 ,   -18.03,     1.80,    20.54,    41.04,    34.79,  26.8610,    38.83,    37.66,  27.9760
04.03. 20:00 ,   -18.03,     1.51,    20.54,    41.04,    34.79,  26.8610,    38.83,    37.70,  27.9760
04.03. 20:30 ,   -18.03,     1.29,    20.54,    41.04,    34.79,  26.8610,    38.83,    37.70,  27.9760
04.03. 21:00 ,   -18.03,     1.13,    20.54,    41.04,    34.79,  26.8610,    38.83,    37.66,  27.9760
04.03. 21:30 ,   -18.03,     1.03,    20.54,    41.04,    34.79,  26.8610,    38.83,    37.70,  27.9760
04.03. 22:00 ,   -18.03,     0.92,    20.54,    41.04,    34.79,  26.8610,    38.83,    37.70,  27.9760
04.03. 22:30 ,   -18.03,     0.86,    20.38,    41.04,    34.79,  26.8610,    38.83,    37.70,  27.9760
04.03. 23:00 ,   -18.03,     0.76,    20.38,    41.04,    34.79,  26.8610,    38.83,    37.70,  27.9760
04.03. 23:30 ,   -18.03,     0.70,    20.54,    41.04,    34.79,  26.8610,    38.83,    37.70,  27.9760
05.03. 00:00 ,   -18.03,     0.60,    20.38,    41.04,    34.79,  26.8610,    38.79,    37.70,  27.9760
05.03. 00:30 ,   -18.03,     0.67,    20.44,    41.04,    34.77, -26.7030,    38.84,    37.71, -27.8120
05.03. 01:00 ,   -18.03,     0.70,    20.38,    41.04,    34.80, -26.8610,    38.84,    37.70, -27.9760
05.03. 01:30 ,   -18.03,     0.78,    20.46,    41.12,    34.81, -25.8370,    38.71,    37.69, -26.9100
05.03. 02:00 ,   -18.03,     0.81,    20.38,    41.04,    34.79,  26.8610,    38.83,    37.70,  27.9760
05.03. 02:30 ,   -18.03,     0.79,    20.63,    41.04,    34.78, -24.5260,    38.82,    37.68, -25.5440
05.03. 03:00 ,   -18.03,     0.78,    20.60,    41.04,    34.83, -24.8140,    38.99,    38.00, -25.8450
05.03. 03:30 ,   -18.03,     0.65,    20.38,    41.04,    34.82,  -9.5370,    38.83,    37.74,   3.6550
05.03. 04:00 ,   -18.03,     0.54,    20.38,    41.04,    34.79,  26.8610,    38.83,    37.73,  27.9760
05.03. 04:30 ,   -18.03,     0.44,    20.38,    41.04,    34.79,  26.8610,    38.83,    37.73,  27.9760
05.03. 05:00 ,   -18.03,     0.43,    20.37,    41.12,    34.77, -26.8610,    38.84,    37.74, -27.9760
05.03. 05:30 ,   -18.03,     0.43,    20.38,    41.04,    34.79,  -0.4272,    38.83,    37.74,  12.8100
05.03. 06:00 ,   -18.03,     0.42,    20.35,    41.04,    34.79, -26.8080,    38.83,    37.73, -27.9210
05.03. 06:30 ,   -18.03,     0.40,    20.27,    41.60,    36.51, -23.6860,    40.66,    39.47, -24.6700
05.03. 07:00 ,   -18.03,     0.42,    20.33,    41.12,    34.78, -26.7820,    38.85,    37.72, -27.8940
05.03. 07:30 ,   -18.03,     0.43,    20.37,    41.12,    34.78, -26.8610,    38.85,    37.75, -27.9760
05.03. 08:00 ,   -18.03,     0.48,    20.37,    41.04,    34.81, -26.8610,    38.85,    37.75, -27.9760
05.03. 08:30 ,   -18.03,     0.54,    20.37,    41.12,    34.77, -26.8610,    38.84,    37.75, -27.9760
05.03. 09:00 ,   -18.03,     0.59,    20.37,    41.12,    34.80, -26.8610,    38.84,    37.74, -27.9760
05.03. 09:30 ,   -18.03,     0.75,    20.37,    41.12,    34.80, -26.8610,    38.84,    37.75, -27.9760
05.03. 10:00 ,   -18.03,     1.02,    20.36,    41.04,    34.78, -26.8340,    38.85,    37.75, -27.9490
05.03. 10:30 ,   -18.03,     1.57,    20.38,    41.04,    34.79, -25.1220,    39.05,    37.74, -15.9660
05.03. 11:00 ,   -18.03,     1.79,    20.36,    41.04,    34.79, -26.8080,    38.87,    37.73, -27.9210
05.03. 11:30 ,   -18.03,     1.90,    20.36,    41.04,    34.79, -26.8080,    38.87,    37.77, -27.9210
05.03. 12:00 ,   -18.03,     2.02,    20.36,    41.04,    34.79, -26.8340,    38.86,    37.77, -27.9490
05.03. 12:30 ,   -18.03,     2.31,    20.35,    41.12,    34.80, -26.8080,    38.88,    37.74, -27.9210
05.03. 13:00 ,   -18.03,     2.54,    20.35,    41.12,    34.80, -26.8080,    38.87,    37.74, -27.9210
05.03. 13:30 ,   -18.03,     2.70,    20.44,    41.04,    34.81, -26.4150,    38.82,    37.73, -27.5120
05.03. 14:00 ,   -18.03,     2.99,    20.46,    41.04,    34.81, -26.4670,    38.86,    37.76, -27.5660
05.03. 14:30 ,   -18.03,     3.09,    20.39,    41.12,    34.78, -26.3100,    38.85,    37.76, -27.4020
05.03. 15:00 ,   -18.03,     3.17,    20.44,    41.12,    34.80, -26.0740,    38.88,    37.74, -27.1560
05.03. 15:30 ,   -18.03,     3.35,    20.56,    41.12,    34.80, -25.6010,    38.84,    37.74, -26.6640
05.03. 16:00 ,   -18.03,     3.31,    20.61,    41.12,    34.81, -25.5230,    38.81,    37.71, -26.5820
05.03. 16:30 ,   -18.03,     3.18,    20.45,    41.12,    34.80, -25.3390,    38.87,    37.70, -26.3910
05.03. 17:00 ,   -18.03,     3.17,    20.73,    41.28,    34.82, -22.7410,    39.01,    37.95, -23.6860
05.03. 17:30 ,   -18.03,     3.02,    16.71,    41.04,    34.78, -26.8340,    38.85,    37.75, -27.9490
05.03. 18:00 ,   -18.03,     2.92,    20.74,    41.36,    34.80,  -6.7100,    38.83,    37.74,  -6.9890
05.03. 18:30 ,   -18.03,     2.76,    20.47,    41.52,    35.03,   3.9030,    39.31,    38.61,   4.0650
05.03. 19:00 ,   -18.03,     2.44,    20.53,    41.04,    34.75, -26.8610,    38.85,    37.71, -27.9760
05.03. 19:30 ,   -18.03,     2.33,    20.70,    40.96,    34.82,   8.9400,    38.72,    37.77,   9.3120
05.03. 20:00 ,   -18.03,     2.15,    20.53,    36.86,    34.40,   3.0526,    72.00,   100.08,   3.1793
05.03. 20:30 ,   -18.03,     2.11,    20.74,    41.36,    34.88,  12.7190,    38.98,    37.99,  13.2470
05.03. 21:00 ,   -18.03,     1.97,    20.68,    41.04,    34.71,  14.9230,    38.25,    37.15,  15.5420
05.03. 21:30 ,   -18.03,     1.74,    20.53,    41.04,    34.75, -26.8610,    38.84,    37.67, -27.9760
05.03. 22:00 ,   -18.03,     1.56,    20.53,    41.04,    34.75, -26.8610,    38.84,    37.71, -27.9760
05.03. 22:30 ,   -18.03,     1.34,    20.68,    40.96,    34.77,  40.4600,   100.24,   100.32,  42.1400
05.03. 23:00 ,   -18.03,     1.25,    21.03,    41.36,    35.18,  38.9900,    40.22,    39.05,  40.6100
05.03. 23:30 ,   -18.03,     1.34,    21.46,    40.26,    34.60,  47.5900,    38.83,    37.77,  49.5700
06.03. 00:00 ,   -18.03,     1.48,    22.06,    41.52,    34.85,  39.8300,    38.80,    37.70,  41.4800
06.03. 00:30 ,   -18.03,     1.14,    20.55,    41.28,    34.65,  28.9100,    38.83,    37.74,  30.1100
06.03. 01:00 ,   -18.03,     1.22,    21.28,    41.84,    34.91,  40.6700,    38.94,    37.81,  42.3600
06.03. 01:30 ,   -18.03,     1.02,    20.82,    41.44,    34.88,  29.9600,    39.02,    37.85,  31.2100
06.03. 02:00 ,   -18.03,     1.05,    21.07,    41.76,    34.91,  35.8400,    39.05,    37.92,  37.3300
06.03. 02:30 ,   -18.03,     1.08,    21.34,    41.68,    34.99,  31.6400,    39.13,    37.99,  32.9600
06.03. 03:00 ,   -18.03,     0.97,    20.37,    41.04,    34.75, -26.8610,    38.81,    37.68, -27.9760
06.03. 03:30 ,   -18.03,     1.01,     2.89,   103.52,    34.77,  66.9100,    38.69,    37.66,  69.6800
06.03. 04:00 ,   -18.03,     6.07,    30.03,    42.00,    35.36,  49.6900,    39.64,    37.66,  51.7600
06.03. 04:30 ,   -18.03,     0.63,    20.16,    41.84,    34.88,  57.0400,    38.76,    37.88,  59.4100
06.03. 05:00 ,   -18.03,     1.13,    21.65,    41.76,    34.91,  48.8500,    39.13,    38.36,  50.8800
06.03. 05:30 ,   -18.03,     0.93,    20.41,    40.90,    34.74,  19.6980,    39.02,    37.37,  20.5160
06.03. 06:00 ,   -18.03,     1.12,    20.49,    40.94,    35.10,  43.1900,    39.35,    37.99,  44.9800
06.03. 06:30 ,   -18.03,     1.16,    20.60,    41.76,    34.88,  30.8000,    38.87,    37.70,  32.0800
06.03. 07:00 ,   -18.03,     1.27,    19.55,    39.57,    34.60,  30.1700,   101.52,   101.44,  40.9900
06.03. 07:30 ,   -18.03,     1.39,    20.82,    41.76,    34.88,  23.6330,    38.94,    37.81,  24.6150
06.03. 08:00 ,   -18.03,     1.40,    20.37,    41.04,    34.75, -26.8610,    11.52,    11.41, -27.9760
06.03. 08:30 ,   -18.03,     3.51,    25.79,    41.76,    34.65,   6.3170,    38.29,    37.15,   6.5790
06.03. 09:00 ,   -18.03,     1.90,    20.64,    41.84,    34.85,  18.4380,    38.80,    37.63,  19.2040
06.03. 09:30 ,   -18.03,     2.12,    21.07,    41.92,    34.85,  45.9200,    38.76,    37.63,  47.8200
06.03. 10:00 ,   -18.03,     2.67,    20.99,    41.36,    34.94,  52.4200,    38.83,    37.85,  54.6000
06.03. 10:30 ,   -18.03,     2.43,    19.44,    37.15,    36.38,  67.4800,   100.80,   100.72,  15.7610
06.03. 11:00 ,   -18.03,     2.99,    21.57,    41.20,    35.47,  38.9900,    38.76,    38.03,  40.6100
06.03. 11:30 ,   -18.03,     2.77,    20.18,    39.35,    34.82,  20.9570,    38.29,    37.33,  21.8270
06.03. 12:00 ,   -18.03,     0.56,    18.22,    40.96,    34.71, -27.0200,    11.85,    22.25,   5.2950
06.03. 12:30 ,   -18.03,     3.16,    20.39,    41.04,    34.73,  20.3730,    38.79,    37.59,  27.9760
06.03. 13:00 ,   -18.03,     3.16,    20.39,    41.04,    34.76,  12.2330,    38.79,    37.59,  21.7390
06.03. 13:30 ,   -18.03,     3.21,    20.37,    41.04,    34.75, -26.8610,    38.77,    37.57, -27.9760
06.03. 14:00 ,   -18.03,     3.47,    20.84,    40.18,    34.85,  55.3600,    39.57,    38.47,  57.6600
06.03. 14:30 ,   -18.03,     3.28,    20.54,    41.04,    34.74, -26.6510,    38.73,    37.49, -27.7570
06.03. 15:00 ,   -18.03,     2.53,    19.70,    40.18,    35.40,  72.7800,    37.74,    37.04,  75.8100
06.03. 15:30 ,   -18.03,     3.60,    21.50,    41.28,    34.91,  42.7700,    39.09,    37.85,  44.5400
06.03. 16:00 ,   -18.03,    30.03,    30.03,    41.52,    35.07,  39.2000,    39.35,    38.14,  40.8300
06.03. 16:30 ,   -18.03,     3.48,    20.87,    40.69,    34.85,  38.3600,    38.69,    37.66,  39.9500
06.03. 17:00 ,   -18.03,     3.48,    20.87,    41.36,    34.80,  10.7250,    38.76,    37.55,  11.1700
06.03. 17:30 ,   -18.03,     3.53,    20.68,    41.84,    34.91,  23.4760,    38.72,    37.63,  24.4510
06.03. 18:00 ,   -18.03,     3.33,    20.66,    42.00,    34.68,  17.1270,    40.22,    38.32,  17.8380
06.03. 18:30 ,   -18.03,     3.46,    20.52,    41.36,    34.81, -26.8340,    38.78,    37.53, -27.9490
06.03. 19:00 ,   -18.03,     3.73,    21.17,    42.88,    34.94,  20.7470,    38.29,    37.48,  21.6090
06.03. 19:30 ,   -18.03,     3.47,    30.03,    40.86,    35.03,  16.8120,    37.99,    36.46,  17.5100
06.03. 20:00 ,   -18.03,     3.99,    21.53,    42.24,    34.94,  27.8600,    39.60,    37.66,  29.0200
06.03. 20:30 ,   -18.03,     3.66,    20.55,    16.38,    23.80, -26.8340,    38.78,    19.61, -27.9490
06.03. 21:00 ,   -18.03,     3.66,    20.85,    42.00,    35.03,  15.8150,    38.87,    37.85,  16.4710
06.03. 21:30 ,   -18.03,     3.44,    19.69,    48.56,    35.21,  12.8240,    38.65,    37.48,  13.3560
06.03. 22:00 ,   -18.03,    12.72,    30.03,    42.00,    34.97,   9.6750,    38.72,    37.63,  10.0770
06.03. 22:30 ,   -18.03,     3.95,    21.75,    43.28,    34.97,  22.7940,    38.91,    37.92,  23.7400
06.03. 23:00 ,   -18.03,     1.02,    21.82,    42.08,    36.02,  13.6630,    38.32,    37.55,  14.2310
06.03. 23:30 ,   -18.03,     3.70,    20.80,    41.92,    35.18,  14.9230,    38.94,    37.85,  15.5420
07.03. 00:00 ,   -18.03,    11.90,    20.70,    32.46,    34.96, -27.0200,    18.64,    17.78, -28.1500
07.03. 00:30 ,   -18.03,     3.54,    20.70,    42.00,    35.27,  -3.6010,    39.08,    17.31,   2.4381
07.03. 01:00 ,   -18.03,     3.88,    21.57,    42.08,    35.10,  17.9660,    38.76,    37.66,  18.7120
07.03. 01:30 ,   -18.03,     3.43,    20.43,    42.64,    35.14,  19.1210,    38.87,    37.59,  19.9150
07.03. 02:00 ,   -18.03,     3.55,    20.89,    42.48,    35.14,  17.1790,    38.98,    38.03,  17.8920
07.03. 02:30 ,   -18.03,     3.66,    20.99,    41.92,    35.07,  11.4070,    38.76,    37.59,  11.8800
07.03. 03:00 ,   -18.03,     4.51,    23.46,    43.28,    35.21,  34.3700,    39.13,    37.96,  35.8000
07.03. 03:30 ,   -18.03,     3.75,    21.24,    42.00,    34.99,  32.0600,    38.76,    37.92,  33.3900
07.03. 04:00 ,   -18.03,     3.51,    20.80,    41.92,    35.21,   8.2060,    38.76,    37.99,   8.5470
07.03. 04:30 ,   -18.03,     3.43,    20.76,    41.92,    35.21,  18.2810,    39.31,    38.14,  19.0400
07.03. 05:00 ,   -18.03,     5.41,    27.21,    42.24,    35.07,  13.1380,    38.76,    37.59,  13.6840
07.03. 05:30 ,   -18.03,     3.22,    20.69,    41.68,    34.99, -26.8610,    38.83,    37.59, -24.4440
07.03. 06:00 ,   -18.03,     3.26,    20.95,    41.76,    35.21,  11.5640,    38.87,    38.14,  12.0440
07.03. 06:30 ,   -18.03,     3.16,    21.01,    42.08,    35.18,  14.2400,    38.80,    37.74,  14.8320
07.03. 07:00 ,   -18.03,     3.17,    21.05,    42.00,    35.18,  22.3740,    39.05,    37.70,  23.3030
07.03. 07:30 ,   -18.03,    21.15,    30.03,    42.80,    35.14,  22.0070,    38.72,    37.52,  22.9210
07.03. 08:00 ,   -18.03,     2.95,    20.95,    42.72,    35.51,  27.4400,    39.31,    38.10,  28.5800
07.03. 08:30 ,   -18.03,     3.01,    20.82,    42.32,    35.21,  24.5780,    38.98,    37.85,  25.5990
07.03. 09:00 ,   -18.03,     3.00,    20.93,    42.00,    35.18,  20.6950,    39.57,    38.54,  21.5540
07.03. 09:30 ,   -18.03,     2.90,    20.68,    41.68,    35.01, -26.8610,    38.85,    37.64, -27.9760
07.03. 10:00 ,   -18.03,     3.08,    20.53,    42.48,    35.21,  22.3740,    39.42,    37.81,  23.3030
07.03. 10:30 ,   -18.03,     2.71,    20.78,    42.24,    35.18,  11.9840,    38.91,    37.77,  12.4820
07.03. 11:00 ,   -18.03,     3.05,    20.76,    41.92,    35.10,   7.3140,    38.83,    37.77,   7.6170
07.03. 11:30 ,   -18.03,     3.24,    21.05,    42.16,    35.18,  20.9570,    39.09,    37.92,  21.8270
07.03. 12:00 ,   -18.03,     3.34,    20.68,    43.92,    35.10,  12.8240,    38.72,    37.59,  13.3560
07.03. 12:30 ,   -18.03,     3.12,    20.14,    42.16,    35.18,  13.4530,    38.72,    37.59,  14.0120
07.03. 13:00 ,   -18.03,     3.50,    21.26,    43.12,    34.97,  30.5900,    38.54,    37.37,  31.8600
07.03. 13:30 ,   -18.03,     3.56,    21.40,    42.40,    35.25,  19.6450,    39.13,    37.88,  20.4610
07.03. 14:00 ,   -18.03,     3.31,    20.76,    41.92,    35.21,  13.3480,    38.87,    37.77,  13.9030
07.03. 14:30 ,   -18.03,     2.81,    20.43,    40.39,    34.34,  13.7680,    36.42,    35.25,  14.3400
07.03. 15:00 ,   -18.03,     3.31,    20.91,    42.08,    35.21,  17.0740,    39.42,    38.40,  17.7830
07.03. 15:30 ,   -18.03,     3.43,    21.38,    42.24,    35.18,  19.5400,    38.94,    37.81,  20.3520
07.03. 16:00 ,   -18.03,     3.02,    20.69,    41.68,    35.00, -26.8610,    38.84,    37.67, -27.9760
07.03. 16:30 ,   -18.03,     3.10,    21.03,    42.24,    35.10,  24.1060,    39.16,    37.99,  25.1070
07.03. 17:00 ,   -18.03,     3.13,    21.94,    41.92,    35.10,  11.0390,    38.61,    37.55,  11.4980
07.03. 17:30 ,   -18.03,     2.82,    20.93,    42.08,    35.07,   7.6810,    38.76,    37.66,   8.0000
07.03. 18:00 ,   -18.03,     2.75,    21.55,    42.16,    35.14,  11.5120,    38.83,    37.66,  11.9900
07.03. 18:30 ,   -18.03,     2.55,    20.97,    41.28,    34.88,  11.2490,    38.14,    37.01,  11.7160
07.03. 19:00 ,   -18.03,     2.47,    20.78,    41.92,    35.14,   6.6320,    38.91,    37.88,   6.9070
07.03. 19:30 ,   -18.03,     2.41,    21.09,    41.68,    35.94,   4.3230,    40.09,    39.16,   4.5020
07.03. 20:00 ,   -18.03,     2.33,    20.70,    41.76,    35.10,   9.3600,    38.72,    37.66,   9.7490
07.03. 20:30 ,   -18.03,     2.23,    20.74,    41.92,    35.10,   9.1500,    38.80,    37.77,   9.5300
07.03. 21:00 ,   -18.03,     2.03,    20.54,    41.60,    34.99,  26.8610,    38.87,    37.73,  27.9760
07.03. 21:30 ,   -18.03,     2.04,    20.70,    41.92,    35.10,   3.0526,    38.83,    37.74,   3.1793
07.03. 22:00 ,   -18.03,     2.04,    20.70,    41.84,    35.10,   2.9476,    39.13,    38.07,   3.0700
07.03. 22:30 ,   -18.03,     1.97,    20.54,    41.60,    34.96,  26.8610,    38.87,    37.73,  27.9760
07.03. 23:00 ,   -18.03,     1.97,    20.54,    41.60,    32.97, -26.8610,    34.37,    31.35, -27.9760
07.03. 23:30 ,   -18.03,     3.53,    30.03,    42.08,    35.10,   5.5300,    38.91,    37.88,   5.7590
08.03. 00:00 ,   -18.03,     2.11,    20.13,    41.92,    35.07,   7.8910,    39.05,    37.92,   8.2190
08.03. 00:30 ,   -18.03,     2.05,    20.59,    41.92,    35.07,   9.5700,    38.83,    37.81,   9.9680
08.03. 01:00 ,   -18.03,     2.01,    20.64,    42.00,    35.10,   8.2580,    38.87,    37.81,   8.6010
08.03. 01:30 ,   -18.03,     1.92,    20.54,    41.52,    34.96,  26.8610,    38.87,    37.73,  27.9760
08.03. 02:00 ,   -18.03,     1.86,    20.54,    41.60,    34.96,  26.8610,    38.87,    37.77,  27.9760
08.03. 02:30 ,   -18.03,     1.92,    20.54,    41.52,    34.99,  26.8610,    38.87,    37.77,  27.9760
08.03. 03:00 ,   -18.03,     1.92,    20.54,    41.52,    34.96,  26.8610,    38.87,    37.77,  27.9760
08.03. 03:30 ,   -18.03,     1.96,    20.64,    41.76,    34.97,   9.3600,    38.65,    37.63,   9.7490
08.03. 04:00 ,   -18.03,     1.92,    20.54,    41.52,    34.96,  26.8610,    38.90,    37.77,  27.9760
08.03. 04:30 ,   -18.03,     1.97,    20.68,    41.84,    35.03,   9.8330,    38.87,    37.85,  10.2410
08.03. 05:00 ,   -18.03,     1.94,    20.60,    41.36,    34.91,   7.4190,    38.54,    37.48,   7.7270
08.03. 05:30 ,   -18.03,     1.86,    20.54,    41.52,    34.96,  26.8610,    38.90,    37.77,  27.9760
08.03. 06:00 ,   -18.03,     1.86,    20.54,    41.52,    34.96,  26.8610,    38.90,    37.77,  27.9760
08.03. 06:30 ,   -18.03,     1.80,    20.54,    41.52,    34.96,  26.8610,    38.90,    37.77,  27.9760
