DELTA-T LOGGER
R-Nachbau der Loggerdateien, um Delta-T Dateien oder anderen Loggerdateiformate mit Flag-Splaten in die Level2 Datenbank hochzuladen. Autor:Marvin Lorff, Ausgabe durch Funktion: write.fwf2()
01.01. 00:00
31.03. 23:30
Start_Year: 2020
Channel number,,,,,,,,,,
Sensor code,,,,,,,,,,
        Datum, BoTemp10, BoTemp20, BoTemp30, Theta201, Theta202, w_up_con, Theta801, Theta802, Lys_Akku
Units,,,,,,,,,,
Minimum value,,,,,,,,,,
Maximum value,,,,,,,,,,
04.01. 21:30 ,   -18.03,     1.13,    21.67,    40.21,    34.14,  26.8610,    38.43,    36.93,  27.9760
04.01. 22:00 ,   -18.03,     1.19,    21.67,    40.21,    34.14,  26.8610,    38.43,    36.93,  27.9760
04.01. 22:30 ,   -18.03,     1.19,    21.67,    40.21,    34.14,  26.8610,    38.43,    36.93,  27.9760
04.01. 23:00 ,   -18.03,     1.19,    21.67,    40.21,    34.14,  26.8610,    38.43,    36.89,  27.9760
04.01. 23:30 ,   -18.03,     1.19,    21.67,    40.21,    34.14,  26.8610,    38.43,    36.89,  27.9760
05.01. 00:00 ,   -18.03,     1.19,    21.67,    40.21,    34.14,  26.8610,    38.39,    36.89,  27.9760
05.01. 00:30 ,   -18.03,     1.24,    21.67,    40.21,    34.14,  26.8610,    38.39,    36.89,  27.9760
05.01. 01:00 ,   -18.03,     1.24,    21.67,    40.21,    34.14,  26.8610,    38.39,    36.89,  27.9760
05.01. 01:30 ,   -18.03,     1.24,    21.67,    40.21,    34.14,  26.8610,    38.39,    36.89,  27.9760
05.01. 02:00 ,   -18.03,     1.29,    21.67,    40.21,    34.14,  26.8610,    38.39,    36.89,  27.9760
05.01. 02:30 ,   -18.03,     1.24,    21.67,    40.21,    34.14,  26.8610,    38.39,    36.89,  27.9760
05.01. 03:00 ,   -18.03,     1.24,    21.67,    40.21,    34.14,  26.8610,    38.39,    36.89,  27.9760
05.01. 03:30 ,   -18.03,     1.24,    21.67,    40.21,    34.14,  26.8610,    38.39,    36.93,  27.9760
05.01. 04:00 ,   -18.03,     1.24,    21.67,    40.21,    34.14,  26.8610,    38.39,    36.89,  27.9760
05.01. 04:30 ,   -18.03,     1.24,    21.67,    40.21,    34.14,  26.8610,    38.35,    36.89,  27.9760
05.01. 05:00 ,   -18.03,     1.19,    21.67,    40.21,    34.14,  26.8610,    38.39,    36.89,  27.9760
05.01. 05:30 ,   -18.03,     1.19,    21.67,    40.21,    34.14,  26.8610,    38.35,    36.85,  27.9760
05.01. 06:00 ,   -18.03,     1.19,    21.66,    40.21,    34.14,  26.8610,    38.35,    36.85,  27.9760
05.01. 06:30 ,   -18.03,     1.13,    21.66,    40.21,    34.14,  26.8610,    38.35,    36.85,  27.9760
05.01. 07:00 ,   -18.03,     1.13,    21.66,    40.21,    34.14,  26.8610,    38.35,    36.85,  27.9760
05.01. 07:30 ,    28.21,    30.03,    30.03,    34.24,    29.49,   5.2080,    33.22,    31.83,   5.4930
05.01. 08:00 ,    14.97,    25.79,    30.03,    35.81,    30.59,   5.8050,    34.06,    32.92,   6.0730
05.01. 08:30 ,    25.07,    30.03,    30.03,    35.29,    30.16,   5.5690,    33.63,    32.55,   5.8410
05.01. 09:00 ,   -13.40,    27.57,    30.03,    35.86,    30.55,   5.7720,    34.07,    32.96,   6.0120
05.01. 09:30 ,    30.03,    30.03,    30.03,    28.32,    23.74,   4.7230,    27.04,    25.97,   4.9120
05.01. 10:00 ,   -18.03,     1.19,    21.66,    40.21,    34.14,  26.8610,    38.35,    36.85,  27.9760
05.01. 10:30 ,   -18.03,     1.35,    21.66,    40.21,    34.14,  26.8610,    38.35,    36.82,  27.9760
05.01. 11:00 ,    30.03,    30.03,    30.03,    28.42,    23.85,   4.7230,    27.21,    26.14,   4.9120
05.01. 11:30 ,   -18.03,     1.74,    21.66,    40.21,    34.11,  26.8610,    38.32,    36.85,  27.9760
05.01. 12:00 ,    30.03,    30.03,    30.03,    28.36,    23.79,   4.7420,    27.10,    26.03,   4.9390
05.01. 12:30 ,    30.03,    30.03,    30.03,    28.41,    23.84,   4.7620,    27.16,    26.08,   4.9600
05.01. 13:00 ,    13.53,     6.89,    20.66,    32.86,    34.11,  26.8610,    35.57,    30.61,  12.8440
05.01. 13:30 ,     7.82,     2.32,    19.91,    35.12,    25.11,   4.7880,    28.47,    27.42,   5.0900
