DELTA-T LOGGER
R-Nachbau der Loggerdateien, um Delta-T Dateien oder anderen Loggerdateiformate mit Flag-Splaten in die Level2 Datenbank hochzuladen. Autor:Marvin Lorff, Ausgabe durch Funktion: write.fwf2()
01/01 00:00:00
31/03 23:30:00
Start_Year: 2021
Channel number,,,,,,,,,,,,,,
Sensor code,,,,,,,,,,,,,,
          Datum, CO1_Kanäle,            BREGENXX,            BTA1XT01,          BTA1XT03,            BTA1XT06,          BTA1XT12,           BTA1XT18,            BTA1ZT01,           BTA1ZT03,         BTA1ZT06,          BTA1ZT12,          BTA1ZT18, LogTempB
Units,,,,,,,,,,,,,,
Minimum value,,,,,,,,,,,,,,
Maximum value,,,,,,,,,,,,,,
02/01 15:30:00 ,         12,               0.000,              568.70,            700.10,              360.30,            126.98,              17.30,                1.41,              67.90,            64.62,           2887.90,          -3115.90,       -2
02/01 16:00:00 ,         12,               0.000,              568.70,            699.40,              359.70,            126.51,              17.30,                0.95,              67.73,            64.36,           2887.90,          -3115.90,       -2
02/01 16:30:00 ,         12,               0.000,              567.70,            699.40,              359.70,            126.35,              17.30,                0.95,              67.73,            64.09,           2887.90,          -3115.90,       -2
02/01 17:00:00 ,         12,               0.000,              567.70,            700.10,              359.10,            126.35,              17.00,                0.95,              69.12,            64.09,           2887.90,          -3115.90,       -2
02/01 17:30:00 ,         12,               0.000,              567.70,            699.40,              359.10,            126.35,              17.30,                0.95,              69.12,            64.36,           2887.90,          -3115.90,       -2
02/01 18:00:00 ,         12,               0.000,              566.70,            700.10,              359.10,            126.12,              16.60,                1.18,              69.12,            64.09,           2887.90,          -3115.90,       -2
02/01 18:30:00 ,         12,               0.000,              566.70,            699.40,              358.40,            125.88,              16.40,                0.95,              68.60,            63.91,           2887.90,          -3115.90,       -2
02/01 19:00:00 ,         12,               0.000,              566.70,            699.40,              358.40,            126.12,              16.40,                0.47,              69.12,            63.91,           2887.90,          -3115.90,       -2
02/01 19:30:00 ,         12,               0.000,              566.70,            699.40,              357.80,            125.73,              16.40,                0.70,              68.60,            63.91,           2887.90,          -3115.90,       -2
02/01 20:00:00 ,         12,               0.000,              566.70,            699.40,              357.80,            125.88,              16.40,                0.95,              68.86,            64.09,           2887.90,          -3115.90,       -2
02/01 20:30:00 ,         12,               0.000,              566.70,            699.40,              357.80,            125.88,              16.40,                1.42,              69.12,            64.62,           2887.90,          -3115.90,       -2
02/01 21:00:00 ,         12,               0.000,              566.70,            700.10,              358.40,            126.12,              16.40,                1.65,              69.12,            64.62,           2887.90,          -3115.90,       -2
02/01 21:30:00 ,         12,               0.000,              565.80,            700.10,              357.80,            125.73,              16.40,                0.95,              69.12,            64.09,           2887.90,          -3115.90,       -2
02/01 22:00:00 ,         12,               0.000,              565.80,            699.40,              357.20,            125.73,              16.40,                0.95,              69.12,            64.36,           2887.90,          -3115.90,       -2
02/01 22:30:00 ,         12,               0.000,              565.80,            699.40,              357.20,            125.73,              16.40,                0.95,              69.12,            64.62,           2887.90,          -3115.90,       -2
02/01 23:00:00 ,         12,               0.000,              565.80,            699.40,              357.20,            125.73,              16.40,                0.95,              69.12,            64.62,           2887.90,          -3115.90,       -2
02/01 23:30:00 ,         12,               0.000,              565.80,            698.70,              357.20,            125.73,              16.10,                1.18,              69.12,            64.62,           2887.90,          -3115.90,       -2
03/01 00:00:00 ,         12,               0.000,              565.80,            698.70,              356.60,            125.10,              15.60,                0.95,              68.86,            63.91,           2887.90,          -3115.90,       -2
03/01 00:30:00 ,         12,               0.000,              565.80,            698.70,              356.60,            125.10,              15.60,                0.95,              68.60,            64.36,           2887.90,          -3115.90,       -2
03/01 01:00:00 ,         12,               0.000,              565.80,            698.70,              356.00,            125.10,              15.60,                0.95,              68.60,            64.36,           2887.90,          -3115.90,       -2
03/01 01:30:00 ,         12,               0.000,              565.80,            698.70,              356.00,            125.10,              15.60,                0.95,              68.42,            64.36,           2887.90,          -3115.90,       -2
03/01 02:00:00 ,         12,               0.000,              565.80,            698.70,              355.30,            124.86,              15.20,                0.95,              68.42,            64.36,           2887.90,          -3115.90,       -2
03/01 02:30:00 ,         12,               0.000,              565.80,            698.00,              355.30,            124.86,              14.70,                0.95,              68.42,            64.09,           2887.90,          -3115.90,       -2
03/01 03:00:00 ,         12,               0.000,              565.80,            698.00,              355.30,            125.10,              15.00,                1.19,              68.42,            64.62,           2887.90,          -3115.90,       -2
03/01 03:30:00 ,         12,               0.000,              565.80,            698.00,              354.70,            125.10,              14.90,                0.95,              68.42,            64.62,           2887.90,          -3115.90,       -2
03/01 04:00:00 ,         12,               0.000,              565.80,            698.00,              354.70,            124.86,              14.70,                1.18,              68.42,            64.62,           2887.90,          -3115.90,       -2
03/01 04:30:00 ,         12,               0.000,              565.80,            698.00,              354.10,            124.63,              14.70,                0.95,              68.42,            64.62,           2887.90,          -3115.90,       -2
03/01 05:00:00 ,         12,               0.000,              565.80,            697.30,              354.10,            124.86,              14.70,                1.19,              68.42,            64.62,           2887.90,          -3115.90,       -2
03/01 05:30:00 ,         12,               0.000,              565.80,            697.30,              353.50,            124.47,              14.70,                1.42,              68.42,            64.62,           2887.90,          -3115.90,       -2
03/01 06:00:00 ,         12,               0.000,              565.80,            697.30,              353.50,            124.71,              14.20,                1.19,              68.42,            64.62,           2887.90,          -3115.90,       -2
03/01 06:30:00 ,         12,               0.000,              564.80,            697.30,              353.50,            125.10,              14.70,                1.65,              68.42,            64.62,           2887.90,          -3115.90,       -2
03/01 07:00:00 ,         12,               0.000,              564.80,            697.30,              353.50,            124.86,              14.70,                1.66,              68.42,            64.62,           2887.90,          -3115.90,       -2
03/01 07:30:00 ,         12,               0.000,              564.80,            697.30,              354.10,            125.33,              14.70,                2.35,              68.86,            65.33,           2887.90,          -3115.90,       -2
03/01 08:00:00 ,         12,               0.000,              564.80,            697.30,              353.50,            124.63,              14.70,                2.35,              68.86,            65.33,           2887.90,          -3115.90,       -2
03/01 08:30:00 ,         12,               0.000,              564.80,            697.30,              353.50,            124.71,              14.70,                2.35,              68.86,            65.33,           2887.90,          -3115.90,       -3
03/01 09:00:00 ,         12,               0.000,              564.80,            697.30,              353.50,            124.47,              14.70,                2.12,              68.42,            64.80,           2887.90,          -3115.90,       -3
03/01 09:30:00 ,         12,               0.000,              564.80,            697.30,              353.50,            124.47,              14.70,                2.12,              68.42,            65.07,           2887.90,          -3115.90,       -3
03/01 10:00:00 ,         12,               0.000,              564.80,            697.30,              353.50,            124.47,              14.70,                2.12,              68.42,            64.89,           2887.90,          -3115.90,       -3
03/01 10:30:00 ,         12,               0.000,              564.80,            697.30,              352.90,            124.24,              14.70,                1.65,              68.42,            64.62,           2887.90,          -3115.90,       -3
03/01 11:00:00 ,         12,               0.000,              565.80,            697.30,              352.90,            124.24,              14.70,                1.65,              68.42,            65.07,           2887.90,          -3115.90,       -3
03/01 11:30:00 ,         12,               0.000,              565.80,            697.30,              352.20,            123.84,              14.10,                1.41,              67.73,            64.62,           2887.90,          -3115.90,       -3
03/01 12:00:00 ,         12,               0.000,              565.80,            696.60,              351.60,            123.61,              13.80,                0.95,              67.73,            64.62,           2887.90,          -3115.90,       -3
03/01 12:30:00 ,         12,               0.000,              565.80,            696.60,              351.00,            123.61,              13.50,                0.95,              67.47,            64.62,           2887.90,          -3115.90,       -2
03/01 13:00:00 ,         12,               0.000,              565.80,            695.90,              351.00,            123.61,              13.20,                1.41,              67.21,            64.62,           2887.90,          -3115.90,       -2
03/01 13:30:00 ,         12,               0.000,              565.80,            695.90,              350.40,            123.37,              13.00,                1.42,              67.21,            64.80,           2887.90,          -3115.90,       -2
03/01 14:00:00 ,         12,               0.000,              565.80,            695.90,              350.40,            123.61,              13.00,                1.65,              67.03,            64.62,           2887.90,          -3115.90,       -2
03/01 14:30:00 ,         12,               0.000,              565.80,            695.90,              349.70,            123.37,              13.00,                1.65,              67.21,            64.80,           2887.90,          -3115.90,       -2
03/01 15:00:00 ,         12,               0.000,              565.80,            695.90,              350.40,            124.24,              13.50,                2.35,              67.90,            65.51,           2887.90,          -3115.90,       -2
03/01 15:30:00 ,         12,               0.000,              565.80,            695.90,              350.40,            124.00,              13.50,                2.58,              68.16,            65.33,           2887.90,          -3115.90,       -2
03/01 16:00:00 ,         12,               0.000,              565.80,            695.90,              350.40,            123.84,              13.30,                2.82,              68.42,            65.33,           2887.90,          -3115.90,       -2
03/01 16:30:00 ,         12,               0.000,              565.80,            695.90,              351.00,            124.47,              13.80,                3.05,              68.68,            66.04,           2887.90,          -3115.90,       -2
03/01 17:00:00 ,         12,               0.000,              564.80,            696.60,              351.00,            123.84,              13.80,                3.29,              68.60,            66.04,           2887.90,          -3115.90,       -2
03/01 17:30:00 ,         12,               0.000,              564.80,            695.90,              351.00,            123.84,              13.80,                3.53,              68.68,            66.04,           2887.90,          -3115.90,       -2
03/01 18:00:00 ,         12,               0.000,              564.80,            695.90,              350.40,            123.45,              13.50,                2.82,              68.42,            66.04,           2887.90,          -3115.90,       -2
03/01 18:30:00 ,         12,               0.000,              564.80,            695.90,              350.40,            123.22,              13.80,                2.82,              68.42,            66.04,           2887.90,          -3115.90,       -2
03/01 19:00:00 ,         12,               0.000,              564.80,            695.90,              350.40,            123.22,              13.80,                2.59,              68.42,            66.04,           2887.90,          -3115.90,       -2
03/01 19:30:00 ,         12,               0.000,              564.80,            695.90,              349.70,            123.22,              13.80,                3.07,              68.42,            66.04,           2887.90,          -3115.90,       -2
03/01 20:00:00 ,         12,               0.000,              564.80,            695.90,              349.70,            123.22,              13.80,                3.05,              68.42,            66.04,           2887.90,          -3115.90,       -2
03/01 20:30:00 ,         12,               0.000,              564.80,            695.90,              349.70,            123.22,              13.30,                3.05,              68.16,            66.04,           2887.90,          -3115.90,       -2
03/01 21:00:00 ,         12,               0.000,              564.80,            695.90,              349.70,            123.45,              13.50,                3.07,              68.42,            66.04,           2887.90,          -3115.90,       -2
03/01 21:30:00 ,         12,               0.000,              564.80,            695.90,              349.70,            123.22,              13.50,                3.07,              68.42,            66.04,           2887.90,          -3115.90,       -2
03/01 22:00:00 ,         12,               0.000,              564.80,            695.90,              349.10,            122.82,              13.00,                3.07,              67.99,            66.04,           2887.90,          -3115.90,       -2
03/01 22:30:00 ,         12,               0.000,              564.80,            695.90,              349.10,            122.98,              13.00,                3.07,              67.73,            66.04,           2887.90,          -3115.90,       -2
03/01 23:00:00 ,         12,               0.000,              564.80,            695.90,              349.10,            123.22,              13.00,                3.05,              67.73,            66.04,           2887.90,          -3115.90,       -2
03/01 23:30:00 ,         12,               0.000,              563.80,            695.20,              349.10,            123.22,              13.00,                3.07,              67.73,            66.04,           2887.90,          -3115.90,       -2
04/01 00:00:00 ,         12,               0.000,              563.80,            695.20,              348.50,            122.98,              13.00,                3.05,              68.16,            66.04,           2887.90,          -3115.90,       -2
04/01 00:30:00 ,         12,               0.000,              563.80,            695.20,              348.50,            122.59,              12.40,                3.05,              67.73,            66.04,           2887.90,          -3115.90,       -2
04/01 01:00:00 ,         12,               0.000,              563.80,            695.20,              348.50,            122.59,              12.10,                3.07,              67.73,            66.04,           2887.90,          -3115.90,       -2
04/01 01:30:00 ,         12,               0.000,              563.80,            695.20,              347.90,            122.59,              12.10,                3.07,              67.73,            66.04,           2887.90,          -3115.90,       -2
04/01 02:00:00 ,         12,               0.000,              563.80,            695.20,              347.90,            122.59,              12.10,                3.30,              67.73,            66.04,           2887.90,          -3115.90,       -2
04/01 02:30:00 ,         12,               0.000,              563.80,            695.20,              347.90,            122.35,              12.10,                3.29,              67.90,            66.04,           2887.90,          -3115.90,       -2
04/01 03:00:00 ,         12,               0.000,              563.80,            694.50,              347.30,            122.20,              12.10,                3.30,              67.73,            66.04,           2887.90,          -3115.90,       -2
04/01 03:30:00 ,         12,               0.000,              563.80,            694.50,              347.30,            122.35,              12.10,                3.53,              67.73,            66.04,           2887.90,          -3115.90,       -2
04/01 04:00:00 ,         12,               0.000,              563.80,            694.50,              347.30,            122.35,              12.10,                3.53,              67.73,            66.04,           2887.90,          -3115.90,       -2
04/01 04:30:00 ,         12,               0.000,              563.80,            694.50,              347.30,            122.35,              11.60,                3.53,              67.73,            66.04,           2887.90,          -3115.90,       -2
04/01 05:00:00 ,         12,               0.000,              563.80,            694.50,              346.60,            121.96,              11.20,                3.30,              67.73,            66.04,           2887.90,          -3115.90,       -2
04/01 05:30:00 ,         12,               0.000,              563.80,            693.70,              346.60,            121.96,              11.20,                3.07,              67.03,            66.04,           2887.90,          -3115.90,       -2
04/01 06:00:00 ,         12,               0.000,              563.80,            693.70,              346.00,            121.96,              11.20,                3.53,              67.47,            66.31,           2887.90,          -3115.90,       -2
04/01 06:30:00 ,         12,               0.000,              562.80,            694.50,              346.60,            122.59,              11.80,                4.47,              68.16,            66.76,           2887.90,          -3115.90,       -2
04/01 07:00:00 ,         12,               0.000,              562.80,            694.50,              347.30,            122.98,              12.10,                5.18,              68.42,            67.47,           2887.90,          -3115.90,       -2
04/01 07:30:00 ,         12,               0.000,              562.80,            694.50,              347.30,            122.59,              12.10,                5.18,              68.68,            67.02,           2887.90,          -3115.90,       -2
04/01 08:00:00 ,         12,               0.000,              562.80,            694.50,              346.60,            122.20,              12.10,                4.93,              68.42,            66.76,           2887.90,          -3115.90,       -2
04/01 08:30:00 ,         12,               0.000,              562.80,            694.50,              347.30,            122.20,              12.10,                5.18,              68.68,            66.76,           2887.90,          -3115.90,       -3
04/01 09:00:00 ,         12,               0.000,              562.80,            694.50,              347.30,            121.96,              12.10,                5.18,              68.68,            66.76,           2887.90,          -3115.90,       -3
04/01 09:30:00 ,         12,               0.000,              562.80,            694.50,              346.60,            121.10,              11.60,                4.47,              68.16,            66.31,           2887.90,          -3115.90,       -3
04/01 10:00:00 ,         12,               0.000,              563.80,            693.70,              345.40,            120.71,              10.70,                3.30,              67.29,            65.78,           2887.90,          -3115.90,       -3
04/01 10:30:00 ,         12,               0.000,              563.80,            693.70,              344.20,            120.08,              10.10,                2.59,              66.08,            65.33,           2887.90,          -3115.90,       -3
