DELTA-T LOGGER
R-Nachbau der Loggerdateien, um Delta-T Dateien oder anderen Loggerdateiformate mit Flag-Splaten in die Level2 Datenbank hochzuladen. Autor:Marvin Lorff, Ausgabe durch Funktion: write.fwf2()
01/01 00:00:00
31/03 23:30:00
Start_Year: 2021
Channel number,,,,,,,
Sensor code,,,,,,,
          Datum, CO3_Kanäle,            FWINDXXX,          FREGENXX,         FReLuxxx,            FTempxxx,           FGlobalx
Units,,,,,,,
Minimum value,,,,,,,
Maximum value,,,,,,,
03/01 23:00:00 ,          5,               0.118,               0.0,           99.430,               -3.89,               0.03
03/01 23:30:00 ,          5,               0.221,               0.0,           99.430,               -3.94,               0.03
04/01 00:00:00 ,          5,               0.349,               0.0,           99.430,               -3.94,               0.03
04/01 00:30:00 ,          5,               0.360,               0.0,           99.430,               -3.94,               0.03
04/01 01:00:00 ,          5,               0.250,               0.0,           99.430,               -3.94,               0.03
04/01 01:30:00 ,          5,               0.089,               0.0,           99.430,               -3.94,               0.03
04/01 02:00:00 ,          5,               0.048,               0.0,           99.430,               -3.89,               0.03
04/01 02:30:00 ,          5,               0.037,               0.0,           99.430,               -3.84,               0.03
04/01 03:00:00 ,          5,               0.021,               0.0,           99.430,               -3.89,               0.03
04/01 03:30:00 ,          5,               0.014,               0.0,           99.430,               -3.84,               0.03
04/01 04:00:00 ,          5,               0.002,               0.0,           99.430,               -3.74,               0.03
04/01 04:30:00 ,          5,               0.153,               0.0,           99.430,               -3.64,               0.03
04/01 05:00:00 ,          5,               0.070,               0.0,           99.430,               -3.69,               0.03
04/01 05:30:00 ,          5,               0.025,               0.0,           99.430,               -3.69,               0.03
04/01 06:00:00 ,          5,               0.227,               0.0,           99.430,               -3.94,               0.03
04/01 06:30:00 ,          5,               0.196,               0.0,           98.870,               -4.15,               0.03
04/01 07:00:00 ,          5,               0.306,               0.0,           98.410,               -4.25,               0.03
04/01 07:30:00 ,          5,               0.308,               0.0,           98.250,               -4.25,               0.03
04/01 08:00:00 ,          5,               0.279,               0.0,           98.560,               -4.20,               0.03
04/01 08:30:00 ,          5,               0.318,               0.0,           98.150,               -4.30,               0.03
04/01 09:00:00 ,          5,               0.419,               0.0,           97.540,               -4.30,               3.58
04/01 09:30:00 ,          5,               0.450,               0.0,           97.590,               -4.20,               9.83
04/01 10:00:00 ,          5,               0.421,               0.0,           97.130,               -3.94,              16.63
04/01 10:30:00 ,          5,               0.366,               0.0,           96.870,               -3.69,              21.74
04/01 11:00:00 ,          5,               0.374,               0.0,           95.330,               -3.48,              24.98
04/01 11:30:00 ,          5,               0.558,               0.0,           93.540,               -3.23,              25.33
04/01 12:00:00 ,          5,               0.376,               0.0,           92.060,               -3.23,              24.57
04/01 12:30:00 ,          5,               0.438,               0.0,           90.570,               -3.12,              20.22
04/01 13:00:00 ,          5,               0.411,               0.0,           89.240,               -3.02,              22.31
04/01 13:30:00 ,          5,               0.496,               0.0,           88.320,               -3.02,              18.52
04/01 14:00:00 ,          5,               0.494,               0.0,           88.010,               -3.02,              18.52
04/01 14:30:00 ,          5,               0.285,               0.0,           88.830,               -2.92,              14.18
04/01 15:00:00 ,          5,               0.428,               0.0,           89.140,               -3.02,              13.04
04/01 15:30:00 ,          5,               0.324,               0.2,           88.930,               -2.97,               9.90
04/01 16:00:00 ,          5,               0.281,               0.0,           89.860,               -2.76,               6.96
04/01 16:30:00 ,          5,               0.434,               0.0,           89.910,               -2.92,               2.40
04/01 17:00:00 ,          5,               0.545,               0.0,           90.320,               -3.17,               0.11
04/01 17:30:00 ,          5,               0.525,               0.0,           91.290,               -3.33,               0.03
04/01 18:00:00 ,          5,               0.880,               0.0,           91.140,               -3.38,               0.03
04/01 18:30:00 ,          5,               0.581,               0.0,           91.440,               -3.48,               0.03
04/01 19:00:00 ,          5,               0.531,               0.0,           91.600,               -3.58,               0.03
04/01 19:30:00 ,          5,               0.686,               0.0,           91.650,               -3.58,               0.03
04/01 20:00:00 ,          5,               0.855,               0.0,           91.440,               -3.58,               0.03
04/01 20:30:00 ,          5,               1.021,               0.0,           90.980,               -3.74,               0.03
